scientific_name,climate_zone,season,watering_adjustment,sunlight_adjustment,special_notes,
Ocimum tenuiflorum,tropical,summer,Increase watering,Provide afternoon shade,Protect from extreme heat,
Aloe vera,arid,summer,Reduce watering,Full sun exposure,Avoid excess moisture,
Moringa oleifera,tropical,monsoon,Reduce watering,None,Ensure drainage,
Murraya koenigii,subtropical,winter,Reduce watering,Full sun,Protect from frost,
Hibiscus rosa-sinensis,tropical,summer,Increase watering,Partial shade,Encourage flowering,
Rosa indica,temperate,winter,Reduce watering,Full sun,Prune in winter,
Jasminum sambac,tropical,monsoon,Moderate watering,Partial sun,Prevent root rot,
Mentha spicata,temperate,summer,Increase watering,Partial shade,Prevent drying,
Cymbopogon citratus,tropical,summer,Increase watering,Full sun,Harvest regularly,
Withania somnifera,arid,winter,Minimal watering,Full sun,Dormant phase,
Tinospora cordifolia,tropical,monsoon,Moderate watering,Partial shade,Provide support,
Bacopa monnieri,tropical,summer,Increase watering,Partial shade,Keep soil moist,
Ficus religiosa,tropical,summer,Weekly watering,Full sun,Large canopy,
Ficus benghalensis,tropical,summer,Weekly watering,Full sun,Requires space,
Tulipa gesneriana,temperate,winter,Minimal watering,Full sun,Bulb dormancy,
Saraca asoca,tropical,summer,Increase watering frequency,Provide partial shade,Protect young plants from heat stress
Kalanchoe blossfeldiana,temperate,monsoon,Minimal watering,Bright light,Avoid humidity
Kalanchoe blossfeldiana,temperate,winter,Minimal watering,Bright light,Cold intolerant
Coleus scutellarioides,tropical,summer,Moderate watering,Bright indirect light,Protect from harsh sun
Coleus scutellarioides,tropical,monsoon,Reduce watering,Bright indirect light,Prone to rot
Coleus scutellarioides,tropical,winter,Low watering,Bright indirect light,Growth slows
Coleus scutellarioides,subtropical,summer,Moderate watering,Bright indirect light,Pinch tips
Coleus scutellarioides,subtropical,monsoon,Low watering,Bright indirect light,Ensure drainage
Coleus scutellarioides,subtropical,winter,Low watering,Bright indirect light,Cold sensitive
Coleus scutellarioides,temperate,summer,Moderate watering,Bright indirect light,Seasonal growth
Coleus scutellarioides,temperate,monsoon,Moderate watering,Bright indirect light,Ensure warmth
Coleus scutellarioides,temperate,winter,Not suitable,Bright indirect light,Cold intolerant
Petunia hybrida,tropical,summer,Moderate watering,Full sun,Encourages flowering
Petunia hybrida,tropical,monsoon,Reduce watering,Full sun,Prone to rot
Petunia hybrida,tropical,winter,Low watering,Full sun,Growth slows
Petunia hybrida,subtropical,summer,Moderate watering,Full sun,Deadhead flowers
Petunia hybrida,subtropical,monsoon,Low watering,Full sun,Ensure drainage
Petunia hybrida,subtropical,winter,Low watering,Full sun,Cold sensitive
Petunia hybrida,temperate,summer,Moderate watering,Full sun,Seasonal bedding plant
Petunia hybrida,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Petunia hybrida,temperate,winter,Not suitable,Full sun,Cold intolerant
Portulaca grandiflora,tropical,summer,Low watering,Full sun,Drought tolerant
Portulaca grandiflora,tropical,monsoon,Very low watering,Full sun,Avoid waterlogging
Portulaca grandiflora,tropical,winter,Minimal watering,Full sun,Rest phase
Portulaca grandiflora,subtropical,summer,Low watering,Full sun,Thrives in heat
Portulaca grandiflora,subtropical,monsoon,Very low watering,Full sun,Excellent drainage required
Portulaca grandiflora,subtropical,winter,Minimal watering,Full sun,Cold sensitive
Portulaca grandiflora,temperate,summer,Moderate watering,Full sun,Seasonal groundcover
Portulaca grandiflora,temperate,monsoon,Low watering,Full sun,Ensure warmth
Portulaca grandiflora,temperate,winter,Not suitable,Full sun,Cold intolerant
Epipremnum pinnatum,tropical,summer,Increase watering frequency,Bright indirect light,Avoid direct sun scorch
Epipremnum pinnatum,tropical,monsoon,Reduce watering,Bright indirect light,Ensure good drainage
Epipremnum pinnatum,tropical,winter,Low watering,Bright indirect light,Growth slows indoors
Epipremnum pinnatum,subtropical,summer,Moderate watering,Bright indirect light,Protect from heat stress
Epipremnum pinnatum,subtropical,monsoon,Low watering,Bright indirect light,Watch for root rot
Epipremnum pinnatum,subtropical,winter,Low watering,Bright indirect light,Minimal care needed
Epipremnum pinnatum,temperate,summer,Moderate watering,Bright indirect light,Indoor cultivation only
Epipremnum pinnatum,temperate,monsoon,Low watering,Bright indirect light,Avoid cold drafts
Epipremnum pinnatum,temperate,winter,Minimal watering,Bright indirect light,Cold sensitive
Philodendron hederaceum,tropical,summer,Moderate watering,Bright indirect light,Maintain humidity
Philodendron hederaceum,tropical,monsoon,Reduce watering,Bright indirect light,Ensure airflow
Philodendron hederaceum,tropical,winter,Low watering,Bright indirect light,Growth slows
Philodendron hederaceum,subtropical,summer,Moderate watering,Bright indirect light,Support trailing growth
Philodendron hederaceum,subtropical,monsoon,Low watering,Bright indirect light,Drain excess water
Philodendron hederaceum,subtropical,winter,Low watering,Bright indirect light,Protect from cold
Philodendron hederaceum,temperate,summer,Moderate watering,Bright indirect light,Indoor only
Philodendron hederaceum,temperate,monsoon,Low watering,Bright indirect light,Avoid cold humidity
Philodendron hederaceum,temperate,winter,Minimal watering,Bright indirect light,Cold intolerant
Monstera deliciosa,tropical,summer,Moderate watering,Bright indirect light,Large leaves transpire heavily
Monstera deliciosa,tropical,monsoon,Reduce watering,Bright indirect light,Prevent waterlogging
Monstera deliciosa,tropical,winter,Low watering,Bright indirect light,Growth slows
Monstera deliciosa,subtropical,summer,Moderate watering,Bright indirect light,Mist leaves regularly
Monstera deliciosa,subtropical,monsoon,Low watering,Bright indirect light,Good drainage required
Monstera deliciosa,subtropical,winter,Low watering,Bright indirect light,Cold slows growth
Monstera deliciosa,temperate,summer,Moderate watering,Bright indirect light,Indoor cultivation
Monstera deliciosa,temperate,monsoon,Low watering,Bright indirect light,Avoid cold drafts
Monstera deliciosa,temperate,winter,Minimal watering,Bright indirect light,Cold sensitive
Aglaonema pink,tropical,summer,Moderate watering,Low to medium light,Heat tolerant foliage
Aglaonema pink,tropical,monsoon,Reduce watering,Low to medium light,Prevent soggy soil
Aglaonema pink,tropical,winter,Low watering,Low to medium light,Growth slows
Aglaonema pink,subtropical,summer,Moderate watering,Low to medium light,Thrives indoors
Aglaonema pink,subtropical,monsoon,Low watering,Low to medium light,Ensure drainage
Aglaonema pink,subtropical,winter,Low watering,Low to medium light,Cold sensitive
Aglaonema pink,temperate,summer,Moderate watering,Low to medium light,Indoor only
Aglaonema pink,temperate,monsoon,Low watering,Low to medium light,Avoid cold humidity
Aglaonema pink,temperate,winter,Minimal watering,Low to medium light,Protect from frost
Nephrolepis exaltata,tropical,summer,Increase watering,Bright indirect light,High humidity essential
Nephrolepis exaltata,tropical,monsoon,Moderate watering,Bright indirect light,Prevent fungal disease
Nephrolepis exaltata,tropical,winter,Low watering,Bright indirect light,Growth slows
Nephrolepis exaltata,subtropical,summer,Moderate watering,Bright indirect light,Mist fronds
Nephrolepis exaltata,subtropical,monsoon,Low watering,Bright indirect light,Ensure airflow
Nephrolepis exaltata,subtropical,winter,Low watering,Bright indirect light,Cold sensitive
Nephrolepis exaltata,temperate,summer,Moderate watering,Bright indirect light,Indoor only
Nephrolepis exaltata,temperate,monsoon,Low watering,Bright indirect light,Avoid cold drafts
Nephrolepis exaltata,temperate,winter,Minimal watering,Bright indirect light,Protect from cold
Calathea orbifolia,tropical,summer,Moderate watering,Bright indirect light,High humidity critical
Calathea orbifolia,tropical,monsoon,Reduce watering,Bright indirect light,Avoid waterlogging
Calathea orbifolia,tropical,winter,Low watering,Bright indirect light,Growth slows
Calathea orbifolia,subtropical,summer,Moderate watering,Bright indirect light,Mist frequently
Calathea orbifolia,subtropical,monsoon,Low watering,Bright indirect light,Ensure drainage
Calathea orbifolia,subtropical,winter,Low watering,Bright indirect light,Cold sensitive
Calathea orbifolia,temperate,summer,Moderate watering,Bright indirect light,Indoor only
Calathea orbifolia,temperate,monsoon,Low watering,Bright indirect light,Avoid cold humidity
Calathea orbifolia,temperate,winter,Minimal watering,Bright indirect light,Cold intolerant
Dieffenbachia seguine,tropical,summer,Moderate watering,Bright indirect light,Fast vegetative growth
Dieffenbachia seguine,tropical,monsoon,Reduce watering,Bright indirect light,Prevent root rot
Dieffenbachia seguine,tropical,winter,Low watering,Bright indirect light,Growth slows
Dieffenbachia seguine,subtropical,summer,Moderate watering,Bright indirect light,Rotate plant
Dieffenbachia seguine,subtropical,monsoon,Low watering,Bright indirect light,Ensure drainage
Dieffenbachia seguine,subtropical,winter,Low watering,Bright indirect light,Cold sensitive
Dieffenbachia seguine,temperate,summer,Moderate watering,Bright indirect light,Indoor cultivation
Dieffenbachia seguine,temperate,monsoon,Low watering,Bright indirect light,Avoid cold humidity
Dieffenbachia seguine,temperate,winter,Minimal watering,Bright indirect light,Cold intolerant
Dracaena sanderiana,tropical,summer,Low watering,Low to medium light,Drought tolerant
Dracaena sanderiana,tropical,monsoon,Minimal watering,Low to medium light,Avoid soggy soil
Dracaena sanderiana,tropical,winter,Very low watering,Low to medium light,Slow growth
Dracaena sanderiana,subtropical,summer,Low watering,Low to medium light,Thrives indoors
Dracaena sanderiana,subtropical,monsoon,Minimal watering,Low to medium light,Ensure drainage
Dracaena sanderiana,subtropical,winter,Very low watering,Low to medium light,Cold sensitive
Dracaena sanderiana,temperate,summer,Low watering,Low to medium light,Indoor only
Dracaena sanderiana,temperate,monsoon,Minimal watering,Low to medium light,Avoid cold drafts
Dracaena sanderiana,temperate,winter,Minimal watering,Low to medium light,Cold intolerant
Schefflera arboricola,tropical,summer,Moderate watering,Bright indirect light,Bushy growth
Schefflera arboricola,tropical,monsoon,Reduce watering,Bright indirect light,Prune excess growth
Schefflera arboricola,tropical,winter,Low watering,Bright indirect light,Growth slows
Schefflera arboricola,subtropical,summer,Moderate watering,Bright indirect light,Rotate plant
Schefflera arboricola,subtropical,monsoon,Low watering,Bright indirect light,Drain excess water
Schefflera arboricola,subtropical,winter,Low watering,Bright indirect light,Cold sensitive
Schefflera arboricola,temperate,summer,Moderate watering,Bright indirect light,Indoor only
Schefflera arboricola,temperate,monsoon,Low watering,Bright indirect light,Avoid cold humidity
Schefflera arboricola,temperate,winter,Minimal watering,Bright indirect light,Cold intolerant
Chamaedorea seifrizii,tropical,summer,Moderate watering,Bright indirect light,High humidity helpful
Chamaedorea seifrizii,tropical,monsoon,Reduce watering,Bright indirect light,Prevent waterlogging
Chamaedorea seifrizii,tropical,winter,Low watering,Bright indirect light,Growth slows
Chamaedorea seifrizii,subtropical,summer,Moderate watering,Bright indirect light,Mist leaves
Chamaedorea seifrizii,subtropical,monsoon,Low watering,Bright indirect light,Ensure airflow
Chamaedorea seifrizii,subtropical,winter,Low watering,Bright indirect light,Cold sensitive
Chamaedorea seifrizii,temperate,summer,Moderate watering,Bright indirect light,Indoor cultivation
Chamaedorea seifrizii,temperate,monsoon,Low watering,Bright indirect light,Avoid cold drafts
Chamaedorea seifrizii,temperate,winter,Minimal watering,Bright indirect light,Protect from cold
Ficus lyrata,tropical,summer,Moderate watering,Bright indirect light,Large leaves transpire
Ficus lyrata,tropical,monsoon,Reduce watering,Bright indirect light,Avoid soggy soil
Ficus lyrata,tropical,winter,Low watering,Bright indirect light,Growth slows
Ficus lyrata,subtropical,summer,Moderate watering,Bright indirect light,Stable location important
Ficus lyrata,subtropical,monsoon,Low watering,Bright indirect light,Drainage essential
Ficus lyrata,subtropical,winter,Low watering,Bright indirect light,Cold sensitive
Ficus lyrata,temperate,summer,Moderate watering,Bright indirect light,Indoor only
Ficus lyrata,temperate,monsoon,Low watering,Bright indirect light,Avoid cold humidity
Ficus lyrata,temperate,winter,Minimal watering,Bright indirect light,Cold intolerant
Syngonium podophyllum,tropical,summer,Moderate watering,Bright indirect light,Fast vine growth
Syngonium podophyllum,tropical,monsoon,Reduce watering,Bright indirect light,Prevent rot
Syngonium podophyllum,tropical,winter,Low watering,Bright indirect light,Growth slows
Syngonium podophyllum,subtropical,summer,Moderate watering,Bright indirect light,Provide support
Syngonium podophyllum,subtropical,monsoon,Low watering,Bright indirect light,Ensure drainage
Syngonium podophyllum,subtropical,winter,Low watering,Bright indirect light,Cold sensitive
Syngonium podophyllum,temperate,summer,Moderate watering,Bright indirect light,Indoor only
Syngonium podophyllum,temperate,monsoon,Low watering,Bright indirect light,Avoid cold drafts
Syngonium podophyllum,temperate,winter,Minimal watering,Bright indirect light,Cold intolerant
Peperomia obtusifolia,tropical,summer,Low watering,Bright indirect light,Succulent-like care
Peperomia obtusifolia,tropical,monsoon,Very low watering,Bright indirect light,Root rot risk
Peperomia obtusifolia,tropical,winter,Minimal watering,Bright indirect light,Slow growth
Peperomia obtusifolia,subtropical,summer,Low watering,Bright indirect light,Good airflow
Peperomia obtusifolia,subtropical,monsoon,Very low watering,Bright indirect light,Ensure drainage
Peperomia obtusifolia,subtropical,winter,Minimal watering,Bright indirect light,Cold sensitive
Peperomia obtusifolia,temperate,summer,Low watering,Bright indirect light,Indoor only
Peperomia obtusifolia,temperate,monsoon,Minimal watering,Bright indirect light,Avoid humidity
Peperomia obtusifolia,temperate,winter,Minimal watering,Bright indirect light,Cold intolerant
Ficus microcarpa,tropical,summer,Moderate watering,Bright indirect light,Maintain root health
Ficus microcarpa,tropical,monsoon,Reduce watering,Bright indirect light,Avoid waterlogging
Ficus microcarpa,tropical,winter,Low watering,Bright indirect light,Growth slows
Ficus microcarpa,subtropical,summer,Moderate watering,Bright indirect light,Stable conditions needed
Ficus microcarpa,subtropical,monsoon,Low watering,Bright indirect light,Drain excess water
Ficus microcarpa,subtropical,winter,Low watering,Bright indirect light,Cold sensitive
Ficus microcarpa,temperate,summer,Moderate watering,Bright indirect light,Indoor cultivation
Ficus microcarpa,temperate,monsoon,Low watering,Bright indirect light,Avoid cold drafts
Ficus microcarpa,temperate,winter,Minimal watering,Bright indirect light,Cold intolerant
Chrysalidocarpus lutescens,tropical,summer,Moderate watering,Bright indirect light,High humidity helpful
Chrysalidocarpus lutescens,tropical,monsoon,Reduce watering,Bright indirect light,Prevent root rot
Chrysalidocarpus lutescens,tropical,winter,Low watering,Bright indirect light,Growth slows
Chrysalidocarpus lutescens,subtropical,summer,Moderate watering,Bright indirect light,Mist leaves
Chrysalidocarpus lutescens,subtropical,monsoon,Low watering,Bright indirect light,Ensure airflow
Chrysalidocarpus lutescens,subtropical,winter,Low watering,Bright indirect light,Cold sensitive
Chrysalidocarpus lutescens,temperate,summer,Moderate watering,Bright indirect light,Indoor only
Chrysalidocarpus lutescens,temperate,monsoon,Low watering,Bright indirect light,Avoid cold humidity
Chrysalidocarpus lutescens,temperate,winter,Minimal watering,Bright indirect light,Protect from cold
Tradescantia pallida,tropical,summer,Moderate watering,Bright light,Color intensifies
Tradescantia pallida,tropical,monsoon,Reduce watering,Bright light,Prevent rot
Tradescantia pallida,tropical,winter,Low watering,Bright light,Growth slows
Tradescantia pallida,subtropical,summer,Moderate watering,Bright light,Fast spreading
Tradescantia pallida,subtropical,monsoon,Low watering,Bright light,Ensure drainage
Tradescantia pallida,subtropical,winter,Low watering,Bright light,Cold sensitive
Tradescantia pallida,temperate,summer,Moderate watering,Bright light,Seasonal growth
Tradescantia pallida,temperate,monsoon,Moderate watering,Bright light,Ensure warmth
Tradescantia pallida,temperate,winter,Not suitable,Bright light,Cold intolerant
Begonia rex,tropical,summer,Moderate watering,Bright indirect light,High humidity needed
Begonia rex,tropical,monsoon,Reduce watering,Bright indirect light,Leaf rot risk
Begonia rex,tropical,winter,Low watering,Bright indirect light,Growth slows
Begonia rex,subtropical,summer,Moderate watering,Bright indirect light,Mist carefully
Begonia rex,subtropical,monsoon,Low watering,Bright indirect light,Ensure airflow
Begonia rex,subtropical,winter,Low watering,Bright indirect light,Cold sensitive
Begonia rex,temperate,summer,Moderate watering,Bright indirect light,Indoor only
Begonia rex,temperate,monsoon,Low watering,Bright indirect light,Avoid cold humidity
Begonia rex,temperate,winter,Minimal watering,Bright indirect light,Cold intolerant
Dracaena marginata,tropical,summer,Low watering,Bright indirect light,Drought tolerant
Dracaena marginata,tropical,monsoon,Minimal watering,Bright indirect light,Avoid soggy soil
Dracaena marginata,tropical,winter,Very low watering,Bright indirect light,Slow growth
Dracaena marginata,subtropical,summer,Low watering,Bright indirect light,Thrives indoors
Dracaena marginata,subtropical,monsoon,Minimal watering,Bright indirect light,Ensure drainage
Dracaena marginata,subtropical,winter,Very low watering,Bright indirect light,Cold sensitive
Dracaena marginata,temperate,summer,Low watering,Bright indirect light,Indoor only
Dracaena marginata,temperate,monsoon,Minimal watering,Bright indirect light,Avoid cold drafts
Dracaena marginata,temperate,winter,Minimal watering,Bright indirect light,Cold intolerant
Pilea peperomioides,tropical,summer,Moderate watering,Bright indirect light,Fast leaf growth
Pilea peperomioides,tropical,monsoon,Reduce watering,Bright indirect light,Prevent rot
Pilea peperomioides,tropical,winter,Low watering,Bright indirect light,Growth slows
Pilea peperomioides,subtropical,summer,Moderate watering,Bright indirect light,Rotate plant
Pilea peperomioides,subtropical,monsoon,Low watering,Bright indirect light,Ensure drainage
Pilea peperomioides,subtropical,winter,Low watering,Bright indirect light,Cold sensitive
Pilea peperomioides,temperate,summer,Moderate watering,Bright indirect light,Indoor only
Pilea peperomioides,temperate,monsoon,Low watering,Bright indirect light,Avoid cold humidity
Pilea peperomioides,temperate,winter,Minimal watering,Bright indirect light,Cold intolerant
Fittonia albivenis,tropical,summer,Frequent watering,Low to medium light,High humidity essential
Fittonia albivenis,tropical,monsoon,Moderate watering,Low to medium light,Prevent fungal issues
Fittonia albivenis,tropical,winter,Low watering,Low to medium light,Growth slows
Fittonia albivenis,subtropical,summer,Frequent watering,Low to medium light,Keep soil moist
Fittonia albivenis,subtropical,monsoon,Moderate watering,Low to medium light,Ensure airflow
Fittonia albivenis,subtropical,winter,Low watering,Low to medium light,Cold sensitive
Fittonia albivenis,temperate,summer,Frequent watering,Low to medium light,Indoor only
Fittonia albivenis,temperate,monsoon,Moderate watering,Low to medium light,Avoid cold drafts
Fittonia albivenis,temperate,winter,Minimal watering,Low to medium light,Cold intolerant
Parthenocissus tricuspidata,tropical,summer,Moderate watering,Full sun to partial shade,Fast vegetative growth
Parthenocissus tricuspidata,tropical,monsoon,Reduce watering,Full sun to partial shade,Ensure strong drainage
Parthenocissus tricuspidata,tropical,winter,Low watering,Full sun to partial shade,Growth slows
Parthenocissus tricuspidata,subtropical,summer,Moderate watering,Full sun to partial shade,Prune aggressively
Parthenocissus tricuspidata,subtropical,monsoon,Low watering,Full sun to partial shade,Watch wall moisture
Parthenocissus tricuspidata,subtropical,winter,Low watering,Full sun to partial shade,Cold tolerant
Parthenocissus tricuspidata,temperate,summer,Moderate watering,Full sun,Seasonal foliage
Parthenocissus tricuspidata,temperate,monsoon,Low watering,Full sun,Ensure warmth
Parthenocissus tricuspidata,temperate,winter,Minimal watering,Full sun,Dormant phase
Hedera helix,tropical,summer,Moderate watering,Bright indirect light,Heat stress possible
Hedera helix,tropical,monsoon,Reduce watering,Bright indirect light,Fungal risk
Hedera helix,tropical,winter,Low watering,Bright indirect light,Growth slows
Hedera helix,subtropical,summer,Moderate watering,Bright indirect light,Trim regularly
Hedera helix,subtropical,monsoon,Low watering,Bright indirect light,Good airflow needed
Hedera helix,subtropical,winter,Low watering,Bright indirect light,Cold tolerant
Hedera helix,temperate,summer,Moderate watering,Bright indirect light,Ideal growth period
Hedera helix,temperate,monsoon,Low watering,Bright indirect light,Avoid soggy soil
Hedera helix,temperate,winter,Minimal watering,Bright indirect light,Dormant growth
Asparagus densiflorus,tropical,summer,Moderate watering,Bright indirect light,Maintain humidity
Asparagus densiflorus,tropical,monsoon,Reduce watering,Bright indirect light,Root rot risk
Asparagus densiflorus,tropical,winter,Low watering,Bright indirect light,Growth slows
Asparagus densiflorus,subtropical,summer,Moderate watering,Bright indirect light,Pinch tips
Asparagus densiflorus,subtropical,monsoon,Low watering,Bright indirect light,Drain excess water
Asparagus densiflorus,subtropical,winter,Low watering,Bright indirect light,Cold sensitive
Asparagus densiflorus,temperate,summer,Moderate watering,Bright indirect light,Indoor cultivation
Asparagus densiflorus,temperate,monsoon,Low watering,Bright indirect light,Avoid cold drafts
Asparagus densiflorus,temperate,winter,Minimal watering,Bright indirect light,Cold intolerant
Araucaria heterophylla,tropical,summer,Moderate watering,Bright indirect light,Even moisture required
Araucaria heterophylla,tropical,monsoon,Reduce watering,Bright indirect light,Prevent root rot
Araucaria heterophylla,tropical,winter,Low watering,Bright indirect light,Growth slows
Araucaria heterophylla,subtropical,summer,Moderate watering,Bright indirect light,Rotate plant
Araucaria heterophylla,subtropical,monsoon,Low watering,Bright indirect light,Drainage critical
Araucaria heterophylla,subtropical,winter,Low watering,Bright indirect light,Cold sensitive
Araucaria heterophylla,temperate,summer,Moderate watering,Bright indirect light,Indoor only
Araucaria heterophylla,temperate,monsoon,Low watering,Bright indirect light,Avoid cold humidity
Araucaria heterophylla,temperate,winter,Minimal watering,Bright indirect light,Protect from frost
Hyophorbe lagenicaulis,tropical,summer,Moderate watering,Full sun,Slow growth palm
Hyophorbe lagenicaulis,tropical,monsoon,Reduce watering,Full sun,Prevent waterlogging
Hyophorbe lagenicaulis,tropical,winter,Low watering,Full sun,Growth slows
Hyophorbe lagenicaulis,subtropical,summer,Moderate watering,Full sun,Mulch base
Hyophorbe lagenicaulis,subtropical,monsoon,Low watering,Full sun,Drain soil well
Hyophorbe lagenicaulis,subtropical,winter,Low watering,Full sun,Cold sensitive
Hyophorbe lagenicaulis,temperate,summer,Moderate watering,Full sun,Protected landscape
Hyophorbe lagenicaulis,temperate,monsoon,Low watering,Full sun,Avoid cold rain
Hyophorbe lagenicaulis,temperate,winter,Not suitable,Full sun,Frost sensitive
Phoenix roebelenii,tropical,summer,Moderate watering,Full sun to partial shade,Healthy frond growth
Phoenix roebelenii,tropical,monsoon,Reduce watering,Full sun to partial shade,Prevent crown rot
Phoenix roebelenii,tropical,winter,Low watering,Full sun to partial shade,Growth slows
Phoenix roebelenii,subtropical,summer,Moderate watering,Full sun to partial shade,Remove dry fronds
Phoenix roebelenii,subtropical,monsoon,Low watering,Full sun to partial shade,Drain soil well
Phoenix roebelenii,subtropical,winter,Low watering,Full sun to partial shade,Cold slows growth
Phoenix roebelenii,temperate,summer,Moderate watering,Full sun to partial shade,Indoor protection
Phoenix roebelenii,temperate,monsoon,Low watering,Full sun to partial shade,Avoid cold drafts
Phoenix roebelenii,temperate,winter,Minimal watering,Full sun to partial shade,Cold sensitive
Cordyline fruticosa,tropical,summer,Moderate watering,Bright light,Vivid foliage color
Cordyline fruticosa,tropical,monsoon,Reduce watering,Bright light,Prevent rot
Cordyline fruticosa,tropical,winter,Low watering,Bright light,Growth slows
Cordyline fruticosa,subtropical,summer,Moderate watering,Bright light,Mist leaves
Cordyline fruticosa,subtropical,monsoon,Low watering,Bright light,Ensure drainage
Cordyline fruticosa,subtropical,winter,Low watering,Bright light,Cold sensitive
Cordyline fruticosa,temperate,summer,Moderate watering,Bright light,Indoor cultivation
Cordyline fruticosa,temperate,monsoon,Low watering,Bright light,Avoid humidity
Cordyline fruticosa,temperate,winter,Minimal watering,Bright light,Cold intolerant
Gardenia jasminoides,tropical,summer,Moderate watering,Full sun to partial shade,Fragrance peak
Gardenia jasminoides,tropical,monsoon,Reduce watering,Full sun to partial shade,Fungal risk
Gardenia jasminoides,tropical,winter,Low watering,Full sun to partial shade,Bud drop possible
Gardenia jasminoides,subtropical,summer,Moderate watering,Full sun to partial shade,Acidic soil required
Gardenia jasminoides,subtropical,monsoon,Low watering,Full sun to partial shade,Good drainage critical
Gardenia jasminoides,subtropical,winter,Low watering,Full sun to partial shade,Cold slows growth
Gardenia jasminoides,temperate,summer,Moderate watering,Full sun to partial shade,Grow protected
Gardenia jasminoides,temperate,monsoon,Low watering,Full sun to partial shade,Avoid cold rain
Gardenia jasminoides,temperate,winter,Not suitable,Full sun to partial shade,Cold intolerant
Catharanthus roseus,tropical,summer,Low watering,Full sun,Heat loving plant
Catharanthus roseus,tropical,monsoon,Reduce watering,Full sun,Prevent root rot
Catharanthus roseus,tropical,winter,Low watering,Full sun,Growth slows
Catharanthus roseus,subtropical,summer,Low watering,Full sun,Thrives easily
Catharanthus roseus,subtropical,monsoon,Low watering,Full sun,Drain soil
Catharanthus roseus,subtropical,winter,Low watering,Full sun,Cold sensitive
Catharanthus roseus,temperate,summer,Moderate watering,Full sun,Seasonal bedding
Catharanthus roseus,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Catharanthus roseus,temperate,winter,Not suitable,Full sun,Cold intolerant
Pelargonium zonale,tropical,summer,Moderate watering,Full sun,Promotes flowering
Pelargonium zonale,tropical,monsoon,Reduce watering,Full sun,Fungal risk
Pelargonium zonale,tropical,winter,Low watering,Full sun,Growth slows
Pelargonium zonale,subtropical,summer,Moderate watering,Full sun,Deadhead flowers
Pelargonium zonale,subtropical,monsoon,Low watering,Full sun,Ensure drainage
Pelargonium zonale,subtropical,winter,Low watering,Full sun,Cold sensitive
Pelargonium zonale,temperate,summer,Moderate watering,Full sun,Seasonal growth
Pelargonium zonale,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Pelargonium zonale,temperate,winter,Not suitable,Full sun,Cold intolerant
Chrysanthemum indicum,tropical,summer,Low watering,Full sun,Vegetative phase
Chrysanthemum indicum,tropical,monsoon,Moderate watering,Full sun,Pinching required
Chrysanthemum indicum,tropical,winter,Moderate watering,Full sun,Flowering season
Chrysanthemum indicum,subtropical,summer,Low watering,Full sun,Shade during heat
Chrysanthemum indicum,subtropical,monsoon,Moderate watering,Full sun,Ensure drainage
Chrysanthemum indicum,subtropical,winter,Moderate watering,Full sun,Bloom peak
Chrysanthemum indicum,temperate,summer,Moderate watering,Full sun,Seasonal planting
Chrysanthemum indicum,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Chrysanthemum indicum,temperate,winter,Low watering,Full sun,Post flowering rest
Ixora dwarf,tropical,summer,Moderate watering,Full sun to partial shade,Acidic soil vital
Ixora dwarf,tropical,monsoon,Reduce watering,Full sun to partial shade,Root rot risk
Ixora dwarf,tropical,winter,Low watering,Full sun to partial shade,Growth slows
Ixora dwarf,subtropical,summer,Moderate watering,Full sun to partial shade,Mulch soil
Ixora dwarf,subtropical,monsoon,Low watering,Full sun to partial shade,Drain excess water
Ixora dwarf,subtropical,winter,Low watering,Full sun to partial shade,Cold sensitive
Ixora dwarf,temperate,summer,Moderate watering,Full sun to partial shade,Grow protected
Ixora dwarf,temperate,monsoon,Low watering,Full sun to partial shade,Avoid cold rain
Ixora dwarf,temperate,winter,Not suitable,Full sun to partial shade,Cold intolerant
Ruellia simplex,tropical,summer,Moderate watering,Full sun,Fast spreading
Ruellia simplex,tropical,monsoon,Moderate watering,Full sun,Self seeding
Ruellia simplex,tropical,winter,Low watering,Full sun,Growth slows
Ruellia simplex,subtropical,summer,Moderate watering,Full sun,Control spread
Ruellia simplex,subtropical,monsoon,Moderate watering,Full sun,Thrives easily
Ruellia simplex,subtropical,winter,Low watering,Full sun,Cold sensitive
Ruellia simplex,temperate,summer,Moderate watering,Full sun,Seasonal growth
Ruellia simplex,temperate,monsoon,Moderate watering,Full sun,Ensure warmth
Ruellia simplex,temperate,winter,Not suitable,Full sun,Cold intolerant
Duranta erecta,tropical,summer,Moderate watering,Full sun,Encourages dense foliage
Duranta erecta,tropical,monsoon,Reduce watering,Full sun,Prune after rains
Duranta erecta,tropical,winter,Low watering,Full sun,Growth slows
Duranta erecta,subtropical,summer,Moderate watering,Full sun,Trim regularly
Duranta erecta,subtropical,monsoon,Low watering,Full sun,Drain soil
Duranta erecta,subtropical,winter,Low watering,Full sun,Cold sensitive
Duranta erecta,temperate,summer,Moderate watering,Full sun,Grow protected
Duranta erecta,temperate,monsoon,Low watering,Full sun,Avoid cold rain
